id,class,abstract
754,U,Operation El Dorado Canyon: At least 15 people die after United States planes bomb targets in the Libyan capital
755,U,British journalist John McCarthy is kidnapped in Beirut (released in August 1991) and three others are found dead; Revolutionary Cells (RZ) claims responsibility in retaliation for the U.S. bombing of Libya.
756,D,Roger Clemens sets the record for the most strikeouts in a 9-inning Major League Baseball game
757,D,A major fire at Los Angeles Public Library caused by arson destroys 400
758,D,Top Gun
759,D,Jonathan Pollard pleads guilty to espionage for selling top secret United States military intelligence to Israel.
760,D,The Rogers Commission Report is released on the Space Shuttle Challenger disaster.
761,U,American college basketball player Len Bias suffers a fatal cardiac arrhythmia from a cocaine overdose less than 48 hours after being selected 2nd overall by the Boston Celtics in the 1986 NBA draft.
762,D,The 6.0 Mw  North Palm Springs earthquake shook Southern California with a maximum Mercalli intensity of VII (Very strong)
763,D,The 6.2 Mw  Chalfant Valley earthquake shook eastern California with a maximum Mercalli intensity of VI (Strong)
764,D,In Louisville
765,U,In Edmond
766,D,Pan Am Flight 73
767,U,U.S. President Ronald Reagan signs the Goldwater
768,U,United States District Court Judge Harry E. Claiborne becomes the fifth federal official to be removed from office through impeachment.
769,U,The Fox Broadcasting Company (then abbreviated as FBC; now Fox) launches as the United States' fourth commercial broadcast television network
770,U,In New York City
771,D,World Series: The New York Mets defeat the Boston Red Sox in 7 games. This is the second world series title in the Mets franchise. It is also remembered for Game 6
772,D,Great Basin National Park is established.
773,U,The centennial of the Statue of Liberty's dedication is celebrated in New York Harbor.
774,U,Democrats regain control of the United States Senate for the first time in six years. In California
775,U,The Commonwealth of the Northern Mariana Islands officially becomes a territory of the United States.
776,U,Iran-Contra Affair: National Security Council member Oliver North and his secretary
777,U,Iran-Contra Affair: U.S. Attorney General Edwin Meese announces that profits from covert weapons sales to Iran were illegally diverted to the anti-communist Contra rebels in Nicaragua.
778,U,Iran-Contra Affair: U.S. President Ronald Reagan announces that as of December 1
779,D,The unemployment rate drops to 6.6%
780,U,After 35 years on the airwaves and holding the title of the longest-running non-news program on network television
781,U,A fire at the Dupont Plaza Hotel in San Juan
782,U,President Ronald Reagan undergoes prostate surgery
783,U,New York mafiosi Anthony "Fat Tony" Salerno and Carmine Peruccia are sentenced to 100 years in prison for racketeering.
784,U,Pennsylvania State Treasurer R. Budd Dwyer commits suicide by shooting himself during a press conference. The incident was captured by news cameras and later broadcast on television.
785,U,State of the Union Address.
786,U,The U.S. State Department invalidates US passports for travel to or through Lebanon due to security concerns. The ban was lifted in 1997.
787,D,William J. Casey ends his term as Director of the Central Intelligence Agency.
788,D,Brownsville
789,U,The United States military detonates an atomic weapon at the Nevada Test Site.
790,U,A second Unabomber bomb explodes at a computer store in Salt Lake City
791,D,American Motors Corporation is acquired by the Chrysler Corporation.
792,U,U.S. President Ronald Reagan addresses the American people on the Iran–Contra affair
793,U,Jonathan Pollard is sentenced to life in prison on one count of espionage.
794,U,Woodstock of physics: The marathon session of the American Physical Society’s meeting features 51 presentations concerning the science of high-temperature superconductors.
795,U,In Charlotte
796,D,The 59th Academy Awards
797,D,L'Ambiance Plaza collapse: 28 construction workers are killed at a residential project under construction in Bridgeport
798,D,The United States Department of Justice declares incumbent Austrian president Kurt Waldheim an "undesirable alien".
799,U,NASCAR driver Bill Elliott sets the record for the all-time fastest lap at Talladega Superspeedway at 212.8 miles per hour (342.5 km/h).
800,U,U.S. Senator Gary Hart drops out of the running for the 1988 Democratic presidential nomination
801,U,Andrew Wyeth
802,U,First RepublicBank of Texas fails and enters FDIC receivership
803,U,Iran-Contra Affair: Lieutenant Colonel Oliver North and Vice Admiral John Poindexter are indicted on charges of conspiracy to defraud the United States.
804,D,Governor Evan Mecham of Arizona is convicted in his impeachment trial and removed from office.
805,U,Massachusetts Governor Michael Dukakis wins the Wisconsin Democratic presidential primary.
806,U,The 60th Academy Awards
807,U,Former pop singer Sonny Bono is elected Mayor of Palm Springs
808,D,The USS Samuel B. Roberts strikes a naval mine in the Persian Gulf
809,U,The United States Navy retaliates for the Roberts mining with Operation Praying Mantis
810,U,Aloha Airlines Flight 243
811,D,PEPCON disaster in Henderson
812,U,A report by U.S. Surgeon General C. Everett Koop states that the addictive properties of nicotine are similar to those of heroin and cocaine.
813,U,California v. Greenwood: The U.S. Supreme Court rules that police officers do not need a search warrant to search through discarded garbage.
814,D,Microsoft releases Windows 2.1.
815,U,U.S. President Ronald Reagan addresses 600 Moscow State University students during his visit to the Soviet Union.
816,U,The Intermediate-Range Nuclear Forces Treaty
817,U,A small wildfire is started by a lightning strike in Montana
818,U,Back to the Future director Robert Zemeckis releases Who Framed Roger Rabbit through Touchstone Pictures to universal acclaim and box office success. It brings a renewed interest in the Golden Age of American animation
819,U,Four workers are asphyxiated at a metal-plating plant in Auburn
820,D,Morrison v. Olson: The United States Supreme Court upholds the law allowing special prosecutors to investigate suspected crimes by executive branch officials.
821,D,The first reported medical waste on beaches in the Greater New York area (including hypodermic needles and syringes possibly infected with the AIDS virus) washes ashore on Long Island. Subsequent medical waste discoveries on beaches in Coney Island
822,U,Miami Arena in Miami
823,U,Volkswagen closes its Westmoreland Assembly Plant after ten years of operation (the first factory built by a non-American automaker in the U.S.).
824,U,The Democratic National Convention in Atlanta
825,D,The death of Tate Rowland leads way to publicized rumors of a Satanic cult in the rural community of Childress
826,D,Wrigley Field has its first night game of baseball
827,U,Pakistani President Muhammad Zia-ul-Haq and the U.S. ambassador to Pakistan
828,U,The Republican National Convention in New Orleans
829,D,Nicholas F. Brady is sworn in as the new Secretary of Treasury
830,U,STS-26: NASA resumes Space Shuttle flights
831,D,STS-26 lands at Edwards Air Force Base in California after four days of its successful maiden flight and satellite deployment.
832,U,In Omaha
833,U,In the second U.S. presidential debate
834,U,The Los Angeles Dodgers defeat the Oakland Athletics
835,D,Ronald Reagan decides to tear down the new U.S. Embassy in Moscow because of Soviet listening devices in the building structure.
836,D,National Park of American Samoa is established.
837,D,The Morris worm
838,U,1988 United States presidential election: George H. W. Bush is elected as 41st president of the United States over Democratic opponent
839,U,The United States Air Force acknowledges the existence of the Lockheed F-117 Nighthawk in a Pentagon press conference.
840,D,In Sacramento
841,D,The 300-foot Green Bank Telescope collapses in Green Bank
842,U,War on Drugs: U.S. President Ronald Reagan signs a bill providing the death penalty for murderous drug traffickers.
843,U,Walt Disney Feature Animation's 27th feature film
844,D,Ted Turner officially buys Jim Crockett Promotions
845,U,In Palmdale
846,U,Kohlberg Kravis Roberts & Co. buys RJR Nabisco for US$25
847,U,The first World AIDS Day is observed.
848,D,The last Dodge Aries and Plymouth Reliant roll off the assembly line in a Chrysler factory.
849,D,Soviet General Secretary Mikhail Gorbachev begins an official visit to the United States.
850,D,After Yasir Arafat renounces violence
851,U,Perennial U.S. Democratic presidential candidate Lyndon LaRouche is convicted of mail fraud.
852,U,Gorbachev cuts short his visit to the United States and returns home to the Soviet Union
853,D,Pan Am Flight 103 is destroyed by a bomb over Lockerbie
854,D,Drexel Burnham Lambert agrees to plead guilty to insider trading and other violations and pay penalties of US$650 million.
855,U,Second Gulf of Sidra incident: Two Libyan MiG-23 "Floggers" are engaged and shot down by two US Navy F-14 Tomcats.
856,D,Harris Trust and Savings Bank of Chicago settles a government enforcement action by agreeing to pay $14 million in backpay to women and minorities
857,U,President Ronald Reagan delivers his farewell address to the nation.
858,U,The National Collegiate Athletic Association adopts Proposition 42
859,U,President-elect George H. W. Bush announces the final members of his cabinet
860,U,Bernhard Goetz is sentenced to one year in prison and fined $5
861,U,A Hispanic Miami police officer shoots and kills a speeding black motorcyclist in the Overtown section of Miami
862,D,Stockton massacre: Patrick Edward Purdy kills five children
863,U,The Republican National Committee elects Lee Atwater as its chairman.
864,U,George H. W. Bush is sworn in as the 41st president of the United States
865,U,Serial killer Theodore Bundy is executed in Florida's electric chair.
866,U,Joel Steinberg is convicted of manslaughter in the beating death of a 6-year-old child he was raising.
867,U,Northway
868,U,The Los Angeles
869,U,The 101st United States Congress rejects a proposed 51 percent pay raise for its members
870,D,President Bush delivers his first address to the 101st Congress.
871,D,Ron Brown is elected chairman of the Democratic National Committee
872,D,President Bush meets with Prime Minister of Canada Brian Mulroney in Ottawa
873,U,The first of 24 Global Positioning System satellites is placed into orbit.
874,U,After protracted testimony
875,U,The unemployment rate drops to a low of 5.0%
876,U,The Berne Convention
877,U,Louis Wade Sullivan starts his term of office as U.S. Secretary of Health and Human Services.
878,U,James D. Watkins starts his term of office as U.S. Secretary of Energy.
879,U,Former National Security Advisor Robert McFarlane is fined $20
880,D,By a vote of 53 to 47
881,U,A geomagnetic storm causes the collapse of the Hydro-Québec power grid. 6 million people are left without power for 9 hours. Some areas in the northeastern U.S. and in Sweden also lose power
882,D,Gun control: U.S. President George H. W. Bush bans the importation of certain guns deemed assault weapons into the United States.
883,D,Dick Cheney is sworn in as the new Secretary of Defense
884,D,Congress passes a bill to protect the job of whistle blowers who expose government waste or fraud.
885,D,National Football League commissioner Pete Rozelle
886,D,Clint Malarchuk of the NHL Buffalo Sabres suffers an almost fatal injury when another player accidentally slits his throat.
887,U,Stanley Pons and Martin Fleischmann announce that they have achieved cold fusion at the University of Utah.
888,U,The 61st Academy Awards
889,U,The Michigan Wolverines men's basketball team defeats the Seton Hall Pirates men's basketball team to win the 1989 NCAA Men's Division I Basketball Tournament.
890,U,Richard M. Daley is elected Mayor of Chicago.
891,U,Beginning of the Pittston Coal strike after miners had worked 14 months without a contract.
892,U,The U.S. government seizes the Irving
893,U,The House Committee on Standards of Official Conduct charges House Speaker Jim Wright with improperly evading limits on outside income and accepting improper gifts.
894,U,Trisha Meili is attacked while jogging in New York City's Central Park; as her identity remains secret for years
895,U,A gun turret explodes on the U.S. battleship Iowa
896,D,NATO debates modernizing short range missiles; although the U.S. and U.K. are in favor
897,D,Disney-MGM Studios at Walt Disney World opens to the public for the first time.
898,U,In the trial of Oliver North on charges related to the Iran–Contra affair
899,U,STS-30 was launched
900,D,STS-30 lands at Edwards Air Force Base in California after four days of its mission and the successful deployment of a Venus spacecraft.
901,U,A Southern Pacific Railroad freight train crashes on Duffy Street in San Bernardino
902,U,The Dow Jones Industrial Average closes above 2
903,U,Thirteen days after the Southern Pacific train derailment
904,U,United States House of Representatives Majority Whip Tony Coelho resigns from the United States House of Representatives
905,U,Jim Wright announces his resignation as Speaker of the House of Representatives.
906,U,The United States House of Representatives elects Tom Foley as its new speaker.
907,D,The Corcoran Gallery of Art cancels Robert Mapplethorpe's photography exhibition
908,D,The Detroit Pistons beat the Los Angeles Lakers to win the 1989 NBA Finals.
909,D,President Bush vetoes a minimum-wage bill passed by Congress on May 17 that would have increased the minimum wage to $4.55 an hour.
910,D,A Titan IV blasts off from Cape Canaveral Air Force Station.
911,D,In Texas v. Johnson
912,U,The film Batman opens on general release
913,D,In Penry v. Lynaugh
914,U,A federal appeals court overturns the February 1988 conviction of Lyn Nofziger for illegal lobbying.
915,U,In Webster v. Reproductive Health Services
916,U,The television show Seinfeld premieres.
917,U,Oliver North is fined $150
918,U,Maiden flight of the B-2 stealth bomber.
919,D,Actress Rebecca Schaeffer is murdered by obsessed fan Robert John Bardo
920,U,United Airlines Flight 232 (Douglas DC-10) crashes in Sioux City
921,U,The Dow Jones Industrial Average closes above 2
922,U,A federal grand jury indicts Cornell University student Robert Tappan Morris
923,U,Nintendo's Game Boy is released in North America.
924,U,U.S. Representative Mickey Leland (D-TX) and 15 others die in a plane crash in Ethiopia.
925,U,Federal Express purchases Flying Tiger Line for approximately 800 million U.S. dollars.
926,U,STS-28: Space Shuttle Columbia takes off on a secret 5-day military mission.
927,U,President Bush nominates United States Army Gen. Colin Powell as Chairman of the Joint Chiefs of Staff
928,U,Nolan Ryan becomes the first pitcher in the history of Major League Baseball to get 5
929,U,Yusef Hawkins is shot in the Bensonhurst section of Brooklyn
930,U,Record-setting baseball player Pete Rose agrees to a lifetime ban from the sport following allegations of illegal gambling
931,U,The Dow Jones Industrial Average ends the day at 2
932,D,Harry Zych
933,U,Commissioner of Baseball A. Bartlett Giamatti dies of a heart attack.  On September 13
934,U,U.S. President George H. W. Bush holds up a bag of cocaine purchased across the street at Lafayette Park
935,U,Former president Ronald Reagan undergoes surgery to remove fluid on his brain. He recovers quickly.
936,D,Standard Gravure shooting: Factory worker Joseph Wesbecker kills 8 and injures 12 before committing suicide inside a factory in Louisville
937,U,Hurricane Hugo makes landfall in South Carolina
938,U,Braniff Incorporated files for bankruptcy for the second time since 1982.
939,U,Former Philippines President Ferdinand Marcos dies in an inter-organ failure at his hospital in Honolulu
940,U,In the biggest narcotics seizure on record
941,U,More than 55
942,U,A jury in Charlotte
943,U,The Dow Jones Industrial Average closes at a record high of 2
944,D,The Dallas Cowboys and the Minnesota Vikings complete the Herschel Walker trade.
945,D,Congress passes the Flag Protection Act of 1989
946,D,Friday the 13th mini-crash: The Dow Jones Industrial Average plunges 190.58 points
947,D,The 6.9 .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Mw Loma Prieta earthquake shakes the San Francisco Bay Area and the Central Coast with a maximum Mercalli intensity of IX (Violent). Sixty-three people were killed and damage amounted to $5.6
948,U,STS-34 is launched
949,U,The Wonders of Life pavilion opens at Epcot in Walt Disney World
950,D,The Senate convicts Judge Alcee Hastings of the United States District Court for the Southern District of Florida of perjury and conspiracy to obtain a bribe
951,D,A federal jury in New York City convicts Rep. Robert García of extortion and conspiracy.
952,D,The Phillips Disaster in Pasadena
953,D,STS-34 lands at Edwards Air Force Base in California after five days of its mission and the successful deployment of a Jupiter-bound spacecraft.
954,D,Congress fails to override Bush's veto of a bill that would have restored funding for abortions for poor women who were the victims of rape or incest.
955,D,NFL owners elect Paul Tagliabue as NFL commissioner.
956,D,North Dakota and South Dakota celebrate their 100th birthdays.
957,D,The Senate convicts Judge Walter Nixon of the United States District Court for the Southern District of Mississippi of lying under oath to a federal grand jury and removes him from office.
958,U,Douglas Wilder wins the Virginia governor's race
959,U,David Dinkins becomes the first African American mayor of New York City.
960,U,Congress passes legislation to raise the minimum wage from $3.35 to $4.25 an hour by April 1991. Bush signs this bill on November 17.
961,D,The Berlin Wall is brought down.
962,U,Lech Walesa
963,D,Six Jesuit priests—among them Ignacio Ellacuría
964,D,The House of Representatives passes amendments to strengthen the Ethics in Government Act of 1978; the Senate passes its own amendments the next day.
965,U,Walt Disney Feature Animation's 28th feature film
966,D,North Carolina celebrates its bicentennial statehood.
967,U,Congress repeals the Medicare Catastrophic Coverage Act of 1988.
968,U,The Space Shuttle Discovery begins STS-33.
969,D,A Miami
970,D,Hotelier Leona Helmsley is sentenced to four years in prison and fined $7.2 million for tax evasion.
971,U,Operation Just Cause is launched in an attempt to overthrow Panamanian dictator Manuel Noriega.
972,U,The Dow Jones Industrial Average closes above 2
973,U,United States invasion of Panama: General Manuel Noriega
974,D,The National Gallery of Art purchases The Fall of Phaeton by Peter Paul Rubens.
975,D,Time Warner is formed from the merger of Time Inc. and Warner Communications Inc.
976,D,Martin Luther King Day Crash
977,D,Smith & Wesson introduce the .40 S&W cartridge.
978,D,In Washington
979,D,In California
980,D,Robert Tappan Morris
981,D,Richard Secord is sentenced to two years probation for lying to the United States Congress about the Iran–Contra affair.
982,D,In Miami
983,D,Avianca Flight 52 crashes into Cove Neck
984,D,The trial of Joseph Hazelwood
985,D,In Holmdel
986,U,President of the United States George H. W. Bush gives his first State of the Union address and proposes that the U.S. and the Soviet Union make deep cuts to their military forces in Europe.
987,U,Cold War: The first McDonald's in Moscow
988,U,The owners of Major League Baseball announce a lockout because of a salary dispute with players.
989,D,Drexel Burnham Lambert files for Chapter 11 bankruptcy protection.
990,U,The Pale Blue Dot picture is sent back from the Voyager 1 probe after completing its primary mission; it was about 6 billion km (3.7 billion miles) from Earth.
991,U,Exxon Valdez oil spill: Exxon and its shipping company are indicted on five criminal counts.
992,U,The Space Shuttle Atlantis begins STS-36.
993,U,The 5.7 Mw  Upland earthquake hits the Greater Los Angeles Area with a maximum Mercalli intensity of VII (Very strong)
994,U,Greyhound bus drivers strike for higher pay.
995,U,Steve Jackson Games is raided by the U.S. Secret Service
996,U,The Nuclear Regulatory Commission approves a license for the long-delayed Seabrook Station Nuclear Power Plant.
997,U,An SR-71 sets a U.S. transcontinental speed record of 1 hour 8 minutes 17 seconds
998,U,Antonia Novello is sworn in as Surgeon General of the United States
999,D,A jury in Anchorage
1000,U,The 62nd Academy Awards
1001,U,The United States begins broadcasting TV Martí to Cuba.
1002,D,U.S. President George H. W. Bush posthumously awards Jesse Owens the Congressional Gold Medal.
1003,D,The UNLV Runnin' Rebels basketball team defeats the Duke Blue Devils men's basketball team to win the 1990 NCAA Men's Division I Basketball Tournament.
1004,D,Robert Mapplethorpe's "The Perfect Moment" show of nude and homosexual photographs opens at the Cincinnati Contemporary Art Center
1005,D,Sigma Lambda Gamma National Sorority
1006,D,STS-31: The Hubble Space Telescope is launched aboard Space Shuttle Discovery.
1007,D,Lebanon hostage crisis: Lebanese kidnappers release American educator Robert Polhill
1008,D,Investor Michael Milken pleads guilty to six felonies and agrees to pay $600 million in fines and restitution.
1009,U,The Space Shuttle Discovery places the Hubble Space Telescope into orbit.
1010,U,Lebanon hostage crisis: Lebanese kidnappers release American educator Frank H. Reed
1011,U,The Muppets creator Jim Henson dies at the age of 53 from Toxic shock syndrome.
1012,U,Microsoft releases Windows 3.0.
1013,U,The Edmonton Oilers defeat the Boston Bruins in the 1990 Stanley Cup Finals for their fifth Stanley Cup.
1014,U,President Bush and Mikhail Gorbachev begin a four-day summit meeting in Washington
1015,U,The last month of the 1980s business cycle expansion
1016,U,Cold War: U.S. President George H. W. Bush and Soviet Union leader Mikhail Gorbachev sign the Chemical Weapons Accord to end chemical weapon production and begin destroying their respective stocks.
1017,U,The Dow Jones Industrial Average closes above 2
1018,D,Nickelodeon Studios opens.
1019,D,Universal Studios Florida opens to the public.
1020,U,Nolan Ryan pitches his sixth career no-hitter.
1021,U,In United States v. Eichman
1022,D,1990 NBA Finals: The Detroit Pistons defeat the Portland Trail Blazers.
1023,D,James Edward Pough kills 10 and injures six before committing suicide at a General Motors car loan office in Jacksonville
1024,D,The United States Fish and Wildlife Service declares the spotted owl a threatened species.
1025,D,In Cruzan v. Director
1026,D,President George H. W. Bush reneges on his 1988 "no new taxes" campaign pledge in a statement accepting tax revenue increases as a necessity to reduce the budget deficit. This later becomes a factor in the 1992 presidential election.
1027,U,The Dart Man attacks begin in New York City.
1028,D,A U.S. District Court acquits Imelda Marcos on racketeering and fraud charges.
1029,D,Pete Rose is sentenced to five months in prison after pleading guilty to filing false tax returns.
1030,D,A federal appeals court overturns three convictions of Oliver North.
1031,D,William J. Brennan
1032,U,The United States Senate votes to reprimand Senator David Durenberger for improper financial dealings and orders him to pay restitution.
1033,D,U.S. President George H. W. Bush signs the Americans with Disabilities Act
1034,D,The United States House of Representatives votes to reprimand Rep. Barney Frank for conduct stemming from his relationship with a male prostitute.
1035,D,Gulf War: Iraq invades Kuwait
1036,D,Federal prosecutors indict Rep. Floyd H. Flake and his wife on 17 counts of conspiracy
1037,D,Gulf War: The United Nations Security Council orders a global trade embargo against Iraq in response to its invasion of Kuwait.
1038,U,Yosemite National Park closes temporarily because of forest fires.
1039,D,The Magellan enters orbit around Venus.
1040,U,The Plainfield Tornado (F5 on the Fujita scale) strikes the towns of Plainfield
1041,U,The comedy television sitcom series The Fresh Prince of Bel-Air premieres on NBC.
1042,D,Gulf War: President George H. W. Bush delivers a nationally televised speech in which he threatens the use of force to remove Iraqi soldiers from Kuwait.
1043,U,Cold War: The two German states and the Four Powers sign the Treaty on the Final Settlement With Respect to Germany in Moscow
1044,D,Scientists at the National Institutes of Health in Bethesda
1045,D,United States Secretary of Defense Dick Cheney fires Gen. Michael Dugan
1046,D,In what will come to be regarded as a landmark event in regards to women in journalism
1047,D,The International Olympic Committee awards the 1996 Summer Olympics to Atlanta
1048,D,Charles Keating is indicted on charges in connection with the 1989 failure of the Lincoln Savings and Loan Association.
1049,D,President Bush meets with President of South Africa F. W. de Klerk at the White House
1050,D,The Motion Picture Association of America replaces its X rating with a new NC-17 rating.
1051,U,The Senate confirms David Souter to the Supreme Court; he takes his seat on October 9.
1052,D,In Fort Lauderdale
1053,D,In Cincinnati
1054,D,Leonard Bernstein announces his retirement from conducting after 47 years. He dies five days later.
1055,U,President Bush vetoes a civil rights bill that would have strengthened federal protection against job discrimination
1056,U,In Orange County
1057,D,United States Secretary of Labor Elizabeth Dole announces her resignation.
1058,D,Evander Holyfield defeats James "Buster" Douglas to become the heavyweight boxing champion.
1059,U,Rhode Island banking crisis begins.
1060,U,President George H. W. Bush signs the Omnibus Budget Reconciliation Act of 1990
1061,U,Rabbi Meir Kahane
1062,D,In the congressional elections
1063,D,Sharon Pratt Kelly is elected Mayor of the District of Columbia
1064,D,William Bennett resigns as Director of the Office of National Drug Control Policy.
1065,D,STS-38: Space Shuttle Atlantis is launched on a classified military mission.
1066,D,President Bush leaves on a trip to Europe and the Middle East; he spends Thanksgiving with U.S. troops in Saudi Arabia.
1067,D,Walt Disney Feature Animation's 29th feature film
1068,U,Financier Michael Milken is sentenced to 10 years in prison.
1069,U,The National Football League fines the New England Patriots and three of its players for the sexual harassment of reporter Lisa Olson.
1070,U,Gulf War: The United Nations Security Council passes UN Security Council Resolution 678
1071,U,At Detroit Metropolitan Airport
1072,D,A dense fog overwhelms an interstate near Calhoun
1073,D,American mob boss John Gotti is arrested.
1074,D,President Bush names Lynn Morley Martin to replace Elizabeth Dole as Secretary of Labor.
1075,D,President Bush names Lamar Alexander as United States Secretary of Education
1076,D,Sharon Pratt Dixon is sworn in as mayor of the District of Columbia
1077,D,United States Secretary of Defense Dick Cheney cancels the $57
1078,D,Pan American World Airways files for bankruptcy protection.
1079,D,United States Secretary of State James Baker meets with Iraqi foreign minister Tariq Aziz
1080,U,U.S. serial killer Aileen Wuornos confesses to the murders of six men.
1081,U,Gulf War: Operation Desert Storm begins with airstrikes against Iraq.
1082,U,Eastern Air Lines ceases operations after flying for two years under bankruptcy protection.
1083,U,President George H. W. Bush names Rep. Edward Rell Madigan as United States Secretary of Agriculture
1084,U,George H. W. Bush delivers his second State of the Union Address.
1085,U,The first attempt to cure cancer by gene therapy takes place at the National Cancer Institute in Bethesda
1086,U,The early 1990s recession ends.
1087,U,A USAir Boeing 737-300
1088,U,A Michigan court bars Dr. Jack Kevorkian from assisting in suicides.
1089,D,Gulf War: Ground troops cross the Saudi Arabian border and enter Kuwait
1090,U,Gulf War: Two laser-guided bombs destroy an underground bunker in Baghdad
1091,U,Gulf War: Iraq accepts a Russian-proposed cease fire agreement. The U.S. rejects the agreement
1092,U,Gulf War: Part of an Iraqi Scud missile hits an American military barracks in Dhahran
1093,D,Gulf War: On Baghdad radio
1094,U,Gulf War: U.S. President George H. W. Bush announces that "Kuwait is liberated".
1095,U,Impostor James Hogue is exposed at Princeton University.
1096,U,Clayton Keith Yeutter leaves his position as the United States Secretary of Agriculture.
1097,U,The United States Department of Justice announces that Exxon has agreed to pay $1
1098,D,Four Los Angeles
1099,D,Germany formally regains complete independence after the four post-World War II occupying powers (France
1100,D,Get the Picture debuts on Nickelodeon.
1101,U,The 63rd Academy Awards
1102,U,Merion air disaster: Senator John Heinz of Pennsylvania and six others are killed when a helicopter collides with their plane over Merion
1103,U,William Kennedy Smith
1104,U,1991 Sacramento hostage crisis: Four gunmen take 41 people hostage at a Good Guys! electronics store in Sacramento
1105,D,Former Senator John Tower and 22 others are killed in an airplane crash in Brunswick
1106,U,The Dow Jones Industrial Average closes above 3
1107,D,Seventy tornadoes break out in the central United States
1108,U,Wisconsin Butter Fire in Madison.
1109,D,Time magazine publishes "The Thriving Cult of Greed and Power"
1110,U,Queen Elizabeth II becomes the first British monarch to address the United States Congress.
1111,D,STS-40: Space Shuttle Columbia carries the Spacelab Life Sciences 1 module into orbit.
1112,D,As she was finishing school for the day
1113,D,The Chicago Bulls win their first NBA championship by defeating the Los Angeles Lakers.
1114,U,A spectator is killed by lightning at the U.S. Open.
1115,D,12th U.S. President Zachary Taylor
1116,U,Supreme Court Justice Thurgood Marshall announces his retirement from the Supreme Court due to declining health. In his retirement press conference on the following day
1117,D,The 5.6 Mw  Sierra Madre earthquake shook the Greater Los Angeles Area with a maximum Mercalli intensity of VII (Very strong)
1118,U,President George H. W. Bush nominates Clarence Thomas as the replacement for Associate Justice Thurgood Marshall.
1119,U,A solar Eclipse of record totality occurs
1120,D,Boxer Mike Tyson is arrested and charged with raping Miss Black America contestant Desiree Washington three days earlier
1121,D,Serial killer Jeffrey Dahmer is arrested after the remains of eleven men and boys are found in his Milwaukee
1122,U,The United States and the Soviet Union sign the START I treaty limiting strategic nuclear weapons.
1123,D,Hurricane Bob hits the Northeastern United States.
1124,U,The Super Nintendo Entertainment System (or "Super Nintendo") is first released in the United States.
1125,D,In Hamlet
1126,U,Continental Express Flight 2574 crashes in Texas.
1127,D,The trial of the deposed Panamanian dictator Manuel Noriega begins in the United States.
1128,U,Nirvana releases their most popular album
1129,D,Arkansas Governor Bill Clinton announces he will seek the 1992 Democratic nomination for President of the United States.
1130,U,United States Senate votes 52
1131,U,George Hennard guns down 24 people in a restaurant in Killeen
1132,U,The American Galileo spacecraft makes its closest approach to 951 Gaspra
1133,D,University of Iowa shooting: Former alumnus Gang Lu kills five people before committing suicide.
1134,U,David Duke
1135,U,Los Angeles Lakers point guard Magic Johnson announces that he has HIV
1136,D,American and British authorities announce indictments against two Libyan intelligence officials in connection with the bombing of Pan Am Flight 103.
1137,D,In Royal Oak
1138,D,Walt Disney Pictures' 30th feature film
1139,U,Journalist Terry A. Anderson is released after seven years' captivity as a hostage in Beirut (the last and longest-held American hostage in Lebanon).
1140,U,A Missouri court imposes a death sentence on Palestinian militant Zein Isa and his wife Maria
1141,U,George H. W. Bush is televised falling violently ill at a state dinner in Japan
1142,U,George H. W. Bush delivers his final State of the Union Address.
1143,D,Tom Harkin wins the Iowa Democratic Caucus.
1144,D,In Indianapolis
1145,D,In New Hampshire
1146,U,On 'Super Tuesday'
1147,U,On CNN's Larry King Live
1148,D,The 64th Academy Awards
1149,U,USS Missouri (BB-63)
1150,D,In New York
1151,U,Microsoft releases Windows 3.1.
1152,U,Barney & Friends debuts on PBS.
1153,D,Former tennis player Arthur Ashe
1154,U,A Miami
1155,U,The Chicago Flood occurs
1156,D,Eric Houston of Yuba County kills four
1157,U,Alabama ratifies a 202-year-old proposed amendment to the United States Constitution making the 27th Amendment law. This amendment bars the U.S. Congress from giving itself a midterm or retroactive pay raise.
1158,U,The Twenty-seventh Amendment to the United States Constitution is enacted.
1159,U,In San Francisco
1160,U,In Massapequa
1161,U,After 30 years
1162,U,As a result of the early 1990s recession and subsequent sluggish job creation
1163,U,Kentucky celebrates its bicentennial statehood.
1164,D,Delta Phi Beta
1165,D,A federal grand jury indicts Caspar Weinberger for his role in covering up the Iran
1166,D,A 'Joint Understanding' agreement on arms reduction is signed by U.S. President George H. W. Bush and Russian President Boris Yeltsin (this is later codified in START II).
1167,U,Mafia boss John Gotti is sentenced to life in prison
1168,D,The Franco-American Flag is officially raised for the first time in Manchester
1169,D,The Supreme Court rules 5–4 in Planned Parenthood v. Casey
1170,U,The Goosebumps series of children's horror fiction
1171,U,Bill Clinton announces his selection of Al Gore as his running mate in the 1992 U.S. presidential election.
1172,U,In Miami
1173,U,Arkansas Governor Bill Clinton is nominated for U.S. president and Tennessee Senator Al Gore for vice president at the Democratic National Convention in New York City.
1174,D,The largest shopping mall in the U.S.
1175,U,The Republican National Convention in Houston
1176,U,Hurricane Iniki hits the Hawaiian Islands
1177,D,Operation Julin is the last nuclear test conducted by the United States at the Nevada Test Site.
1178,U,The Kentucky Supreme Court
1179,U,The Sci-Fi Channel launches with a broadcast of Star Wars.
